line_name,line_key,branch_key,direction_kind,api_direction,api_terminal_station_code,display_label_ko,is_active,note,status
01호선,LINE1,LINE1_MAIN,UP,상행,1919,연천행,true,1호선 공용 구간 대표 상행 terminal,provisional
01호선,LINE1,LINE1_MAIN,DOWN,,,인천/천안/광명/서동탄행,true,1호선 공용 구간 하행은 branch별 terminal이 갈려 대표 라벨로 묶음,provisional
01호선,LINE1,LINE1_GYEONGIN,UP,상행,1919,연천행,true,경인 branch 대표 상행 terminal,provisional
01호선,LINE1,LINE1_GYEONGIN,DOWN,하행,1812,인천행,true,경인 branch 하행 terminal,confirmed
01호선,LINE1,LINE1_GYEONGBU,UP,상행,1919,연천행,true,경부 branch 대표 상행 terminal,provisional
01호선,LINE1,LINE1_GYEONGBU,DOWN,,,천안/신창행,true,경부 branch 하행 terminal은 운행 패턴이 갈려 대표 라벨로 묶음,provisional
01호선,LINE1,LINE1_GWANGMYEONG_SHUTTLE,UP,상행,1703,금천구청행,true,광명 셔틀 상행 junction 회귀,confirmed
01호선,LINE1,LINE1_GWANGMYEONG_SHUTTLE,DOWN,하행,1750,광명행,true,광명 셔틀 하행 terminal,confirmed
01호선,LINE1,LINE1_SEODONGTAN_SHUTTLE,UP,상행,1716,병점행,true,서동탄 셔틀 상행 junction 회귀,confirmed
01호선,LINE1,LINE1_SEODONGTAN_SHUTTLE,DOWN,하행,1749,서동탄행,true,서동탄 셔틀 하행 terminal,confirmed
02호선,LINE2,LINE2_MAIN,INNER,내선,,내선순환,true,2호선 본선 내선순환,confirmed
02호선,LINE2,LINE2_MAIN,OUTER,외선,,외선순환,true,2호선 본선 외선순환,confirmed
02호선,LINE2,LINE2_SEONGSU_BRANCH,UP,,0211,성수행,true,성수지선 본선 복귀 방향,provisional
02호선,LINE2,LINE2_SEONGSU_BRANCH,DOWN,외선,0246,신설동행,true,성수지선 종점 방향,confirmed
02호선,LINE2,LINE2_SINJEONG_BRANCH,UP,,0234,신도림행,true,신정지선 본선 복귀 방향,provisional
02호선,LINE2,LINE2_SINJEONG_BRANCH,DOWN,내선,0200,까치산행,true,신정지선 종점 방향,confirmed
